Cloth_type_color,visitors,sessions,duration,total_bounce_rate,total_carts,total_checkouts,total_conversion,total_orders_placed,total_pageviews,duration_numeric
polo-black,1605,1741,1m58.100516944s,0.6031,30,18,0.00344,6,4541,65.100516944
Jacket-blue,295,342,1m49.245614035s,0.55263,10,4,0.00584,2,1052,64.245614035
Trouser-white,53,60,1m10.3s,0.78333,1,0,0.0,0,97,61.3
Jacket-rust,261,288,1m49.118055555s,0.45138,4,1,0.0,0,987,64.118055555
Sweatshirt-red,168,174,1m28.632183908s,0.50574,4,0,0.0,0,508,62.632183908
Trouser-grey,109,119,2m24.218487394s,0.61344,1,0,0.0,0,298,122.218487394
Jacket-nayy,37,54,1m38.092592592s,0.68518,0,1,0.01851,1,118,63.092592592
Jacket-navy,479,541,1m46.384473197s,0.62107,7,8,0.00924,5,1375,64.384473197
t-shirt-black,20,21,31.19047619s,0.80952,0,0,0.0,0,48,1860.19047619
t-shirt-navy,4,5,46.5s,0.4375,0,0,0.0,0,10,2760.5
Jacket-navy,1100,1234,1m49.709076175s,0.56888,20,19,0.00405,5,3286,64.709076175
jeans-blue,409,527,1m46.332068311s,0.64705,13,12,0.00569,3,1361,64.332068311
Sweatshirt-olive,107,120,1m26.641666666s,0.61666,3,1,0.0,0,238,62.641666666
Trouser-black,541,570,53.184210526s,0.72807,18,3,0.0,0,1078,2940.6
jeans-blue,57,68,1m27.602941176s,0.69117,1,2,0.02941,2,164,62.602941176
Trouser-black,79,90,1m29.8s,0.66666,1,0,0.0,0,191,62.8
polo-white,4,5,44s,0.4375,0,0,0.0,0,10,60.294545454
t-shirt-maroon,748,945,1m18.753439153s,0.69523,12,26,0.00634,6,2149,61.753439153
t-shirt-white,117,142,2m21.014084507s,0.59859,7,14,0.02816,4,494,122.014084507
jeans-blue,155,214,1m29.467289719s,0.69626,9,3,0.00467,1,539,62.467289719
t-shirt-offwhite,21,22,22.136363636s,0.77272,0,0,0.0,0,36,1320.136363636
Trouser-grey,72,81,1m0.481481481s,0.7037,1,1,0.0,0,188,60.481481481
polo-white,1606,1729,2m41.692886061s,0.4375,50,26,0.01156,20,4541,124.692886061
t-shirt-navy,709,784,1m24.8125s,0.61734,24,11,0.0051,4,2046,62.8125
Sweatshirt-pink,1238,1336,44.053892215s,0.70359,11,5,0.00224,3,2526,2640.053892215
jeans-navy,57,63,2m38.46031746s,0.61904,3,0,0.0,0,244,123.46031746
Jacket-maroon,1332,1540,1m26.606493506s,0.63766,35,22,0.00649,10,3701,62.606493506
t-shirt-black,106,118,56.093220338s,0.62711,5,0,0.0,0,286,2940.6
t-shirt-green,1175,1308,1m14.519113149s,0.5451,40,26,0.00688,9,3848,61.519113149
polo-white,208,221,3m21.760180995s,0.4375,5,6,0.0,0,1128,182.760180995
polo-turq,208,250,1m35.472s,0.58399,2,5,0.004,1,654,63.472
polo-black,1471,1616,1m31.584777227s,0.62066,33,24,0.00556,9,4019,63.584777227
Trouser-yellow,96,115,1m39.12173913s,0.70434,1,1,0.0,0,258,63.12173913
t-shirt-blue,22,23,2m32.130434782s,0.65217,1,3,0.04761,3,102,123.130434782
Sweatshirt-black,6,8,3m33.625s,0.75,1,0,0.0,0,14,183.625
t-shirt-navy,27,32,2m35.25s,0.46875,1,3,0.0,0,103,123.25
jeans-navy,10,12,5.25s,0.75,0,0,0.0,0,15,300.25
t-shirt-teal,385,451,1m58.729490022s,0.5011,18,18,0.00443,2,1615,65.729490022
Sweatshirt-green,25,28,13.607142857s,0.84293,0,0,0.0,0,30,780.607142857
Trouser-purple,55,63,2m22.873015873s,0.4375,1,1,0.01587,1,216,122.873015873
t-shirt-white,33,43,28s,0.8372,0,0,0.0,0,95,60.294545454
Sweatshirt-green,4,5,0s,0.84293,0,0,0.0,0,10,60.294545454
polo-pink,729,764,2m18.886125654s,0.53926,23,9,0.00916,7,2547,121.886125654
polo-maroon,7,7,3m51.142857142s,0.71428,1,1,0.04761,1,33,185.142857142
Trouser-turq,10,13,4m45.692307692s,0.46153,1,0,0.0,0,66,244.692307692
t-shirt-turq,32,39,1m6.179487179s,0.61538,1,0,0.0,0,68,60.294545454
jeans-blue,38,42,1m49s,0.71428,1,0,0.0,0,119,109.0
jeans-black,20,20,2m7.3s,0.5,0,0,0.0,0,71,120.3
polo-white,21,22,1m11.454545454s,0.63636,0,0,0.0,0,64,61.454545454
t-shirt-mustard,6,9,13.222222222s,0.77777,0,0,0.0,0,14,780.222222222
Sweatshirt-maroon,18,21,2m5.142857142s,0.66666,1,0,0.0,0,81,120.142857142
t-shirt-brown,125,129,24.906976744s,0.8217,3,1,0.00775,1,218,1440.906976744
t-shirt-blue,246,261,41.977011494s,0.74712,5,0,0.0,0,441,2460.977011494
t-shirt-white,10,10,3m14.5s,0.4375,0,0,0.0,0,40,181.5
Trouser-navy,35,37,56.675675675s,0.7027,0,1,0.02702,1,80,2940.6
Sweatshirt-pink,52,63,2m20s,0.50793,2,0,0.0,0,180,140.0
polo-green,318,362,1m15.17679558s,0.68784,4,3,0.00276,1,726,61.17679558
polo-blue,1719,1871,1m42.218134715s,0.64196,50,19,0.00414,8,4541,64.218134715
polo-navy,231,267,1m44.101123595s,0.64794,8,3,0.00374,1,655,64.101123595
t-shirt-blue,156,181,3m14.701657458s,0.55248,7,7,0.02762,5,695,181.701657458
Sweatshirt-petrol,15,28,5m42.571428571s,0.64285,1,2,0.03571,1,112,304.571428571
Trouser-grey,1719,1871,37.266301088s,0.73961,50,26,0.00111,13,4541,2220.266301088
polo-pink,511,562,1m48.5s,0.66192,15,6,0.00533,3,1417,64.5
Sweatshirt-blue,208,229,1m1.602620087s,0.61135,4,3,0.0,0,571,60.602620087
t-shirt-purple,118,132,2m2.742424242s,0.45454,8,9,0.0,0,518,120.742424242
polo-white,1719,1871,32.047651208s,0.77089,50,26,0.00075,10,4541,1920.047651208
jeans-black,363,377,58.310344827s,0.66047,1,3,0.00265,1,749,2940.6
Trouser-white,94,99,2m23.161616161s,0.66666,1,2,0.0202,2,267,122.161616161
polo-olive,92,99,1m44.05050505s,0.61616,5,4,0.0101,1,246,64.05050505
t-shirt-pink,4,5,2.4s,0.6,0,0,0.0,0,10,120.4
Trouser-black,1065,1185,1m9.406751054s,0.63459,19,12,0.00421,5,2839,60.406751054
t-shirt-pink,9,10,12.6s,0.8,0,0,0.0,0,16,720.6
jeans-blue,114,118,1m1.864406779s,0.66949,0,1,0.0,0,233,60.864406779
t-shirt-petrol,303,328,1m25.844512195s,0.67682,9,6,0.00914,3,714,62.844512195
Jacket-rust,4,5,0s,0.84293,0,0,0.0,0,10,60.294545454
t-shirt-beige,1653,1811,1m11.602981778s,0.69353,33,22,0.00552,10,3783,61.602981778
polo-maroon,316,363,1m58.41322314s,0.51515,19,16,0.02203,8,1272,65.41322314
t-shirt-teal,276,301,29.750830564s,0.80398,8,1,0.0,0,441,1740.750830564
Trouser-black,47,59,3m6.898305084s,0.4375,1,4,0.01694,1,270,180.898305084
Sweatshirt-pink,497,512,34.390625s,0.71289,30,1,0.0,0,858,2040.390625
Sweatshirt-white,4,5,4.5s,0.5,0,0,0.0,0,10,240.5
Sweatshirt-navy,237,261,1m8.310344827s,0.72413,6,6,0.00766,2,558,60.310344827
polo-white,544,629,1m57.098569157s,0.6248,6,11,0.00635,4,1666,65.098569157
Sweatshirt-teal,33,35,36.685714285s,0.84293,0,1,0.02857,1,44,2160.685714285
Jacket-purple,26,31,31.129032258s,0.74193,0,0,0.0,0,69,1860.129032258
jeans-black,29,33,5m36.484848484s,0.45454,0,0,0.0,0,101,303.484848484
Trouser-purple,258,334,1m11.359281437s,0.77844,9,3,0.0,0,701,61.359281437
t-shirt-grey,588,620,1m10.466129032s,0.68064,5,4,0.00483,3,1321,61.466129032
Sweatshirt-grey,4,5,0s,0.84293,0,0,0.0,0,10,60.294545454
Jacket-red,1719,1871,1m2.022857142s,0.63032,27,15,0.00175,4,4541,60.294545454
